student_id,student_name,grade,section,teacher,assessment,student_group,purpose,evidence,language,raw_score,band,submission_status,score_band,student_score_id,season,writing_type,assessment_date,school_name,district_name,academic_year
300005,"Jones, Grant",5,A,David Brown,Jan-12 Winter Benchmark - Community Heroes,Intervention,2,2,1,5,Proficient,Submitted,Proficient (5-6),700014,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300005,"Jones, Grant",5,A,David Brown,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,2,3,2,7,Advanced,Submitted,Advanced (7-8),700015,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300006,"Dupree, Noah",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,IEP,1,1,0,2,Beginning,Submitted,Beginning (0-2),700016,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300006,"Dupree, Noah",5,C,Jennifer Thomas,Jan-12 Winter Benchmark - Community Heroes,IEP,1,1,1,3,Developing,Submitted,Developing (3-4),700017,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300006,"Dupree, Noah",5,C,Jennifer Thomas,Mar-9 GA Extended Writing Task - Athletic Ability,IEP,2,2,1,5,Proficient,Submitted,Proficient (5-6),700018,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300007,"Nakamura, Isaiah",4,B,Bretiya Wallace,Oct-4 Fall Baseline - My Favorite Place,English Learner,0,0,0,0,Beginning,Submitted,Beginning (0-2),700019,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300007,"Nakamura, Isaiah",4,B,Bretiya Wallace,Jan-12 Winter Benchmark - Community Heroes,English Learner,1,0,0,1,Beginning,Submitted,Beginning (0-2),700020,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300007,"Nakamura, Isaiah",4,B,Bretiya Wallace,Mar-9 GA Extended Writing Task - Athletic Ability,English Learner,1,1,0,2,Beginning,Submitted,Beginning (0-2),700021,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300008,"Pollock, Daniel",5,A,David Brown,Oct-4 Fall Baseline - My Favorite Place,General,2,2,0,4,Developing,Submitted,Developing (3-4),700022,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300008,"Pollock, Daniel",5,A,David Brown,Jan-12 Winter Benchmark - Community Heroes,General,,,,,Not Scored,Absent,Not Scored,700023,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300008,"Pollock, Daniel",5,A,David Brown,Mar-9 GA Extended Writing Task - Athletic Ability,General,2,3,1,6,Proficient,Submitted,Proficient (5-6),700024,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300009,"Lyles, Adrian",4,B,Bretiya Wallace,Oct-4 Fall Baseline - My Favorite Place,504 Plan,,,,,Not Scored,Not Submitted,Not Scored,700025,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300009,"Lyles, Adrian",4,B,Bretiya Wallace,Jan-12 Winter Benchmark - Community Heroes,504 Plan,2,1,0,3,Developing,Submitted,Developing (3-4),700026,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300009,"Lyles, Adrian",4,B,Bretiya Wallace,Mar-9 GA Extended Writing Task - Athletic Ability,504 Plan,2,2,1,5,Proficient,Submitted,Proficient (5-6),700027,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300010,"Cofield, Liam",4,B,Bretiya Wallace,Oct-4 Fall Baseline - My Favorite Place,General,2,2,2,6,Proficient,Submitted,Proficient (5-6),700028,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300010,"Cofield, Liam",4,B,Bretiya Wallace,Jan-12 Winter Benchmark - Community Heroes,General,3,2,2,7,Advanced,Submitted,Advanced (7-8),700029,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300010,"Cofield, Liam",4,B,Bretiya Wallace,Mar-9 GA Extended Writing Task - Athletic Ability,General,2,3,2,7,Advanced,Submitted,Advanced (7-8),700030,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300011,"Allen, Samir",3,B,Priya Shah,Oct-4 Fall Baseline - My Favorite Place,504 Plan,2,2,1,5,Proficient,Submitted,Proficient (5-6),700031,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300011,"Allen, Samir",3,B,Priya Shah,Jan-12 Winter Benchmark - Community Heroes,504 Plan,,,,,Not Scored,Absent,Not Scored,700032,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300011,"Allen, Samir",3,B,Priya Shah,Mar-9 GA Extended Writing Task - Athletic Ability,504 Plan,2,2,1,5,Proficient,Submitted,Proficient (5-6),700033,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300012,"Williams, Iko",5,A,David Brown,Oct-4 Fall Baseline - My Favorite Place,General,2,2,1,5,Proficient,Submitted,Proficient (5-6),700034,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300012,"Williams, Iko",5,A,David Brown,Jan-12 Winter Benchmark - Community Heroes,General,3,3,1,7,Advanced,Submitted,Advanced (7-8),700035,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300012,"Williams, Iko",5,A,David Brown,Mar-9 GA Extended Writing Task - Athletic Ability,General,2,3,1,6,Proficient,Submitted,Proficient (5-6),700036,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300013,"Rakestraw, Mia",4,B,Bretiya Wallace,Oct-4 Fall Baseline - My Favorite Place,General,2,2,1,5,Proficient,Submitted,Proficient (5-6),700037,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300013,"Rakestraw, Mia",4,B,Bretiya Wallace,Jan-12 Winter Benchmark - Community Heroes,General,2,2,1,5,Proficient,Submitted,Proficient (5-6),700038,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300013,"Rakestraw, Mia",4,B,Bretiya Wallace,Mar-9 GA Extended Writing Task - Athletic Ability,General,3,3,1,7,Advanced,Submitted,Advanced (7-8),700039,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300014,"King, Nora",3,B,Priya Shah,Oct-4 Fall Baseline - My Favorite Place,504 Plan,,,,,Not Scored,Pending Review,Not Scored,700040,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300014,"King, Nora",3,B,Priya Shah,Jan-12 Winter Benchmark - Community Heroes,504 Plan,2,2,1,5,Proficient,Submitted,Proficient (5-6),700041,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300014,"King, Nora",3,B,Priya Shah,Mar-9 GA Extended Writing Task - Athletic Ability,504 Plan,3,2,1,6,Proficient,Submitted,Proficient (5-6),700042,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300015,"Willis, Samir",4,B,Bretiya Wallace,Oct-4 Fall Baseline - My Favorite Place,English Learner,2,3,2,7,Advanced,Submitted,Advanced (7-8),700043,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300015,"Willis, Samir",4,B,Bretiya Wallace,Jan-12 Winter Benchmark - Community Heroes,English Learner,3,2,2,7,Advanced,Submitted,Advanced (7-8),700044,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300015,"Willis, Samir",4,B,Bretiya Wallace,Mar-9 GA Extended Writing Task - Athletic Ability,English Learner,3,3,2,8,Advanced,Submitted,Advanced (7-8),700045,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300016,"Lee, Braydon",5,A,David Brown,Oct-4 Fall Baseline - My Favorite Place,IEP,0,1,1,2,Beginning,Submitted,Beginning (0-2),700046,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300016,"Lee, Braydon",5,A,David Brown,Jan-12 Winter Benchmark - Community Heroes,IEP,2,2,2,6,Proficient,Submitted,Proficient (5-6),700047,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300016,"Lee, Braydon",5,A,David Brown,Mar-9 GA Extended Writing Task - Athletic Ability,IEP,3,2,2,7,Advanced,Submitted,Advanced (7-8),700048,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300017,"Wallace, Aiyla",3,B,Priya Shah,Oct-4 Fall Baseline - My Favorite Place,IEP,,,,,Not Scored,Pending Review,Not Scored,700049,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300017,"Wallace, Aiyla",3,B,Priya Shah,Jan-12 Winter Benchmark - Community Heroes,IEP,3,3,1,7,Advanced,Submitted,Advanced (7-8),700050,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300017,"Wallace, Aiyla",3,B,Priya Shah,Mar-9 GA Extended Writing Task - Athletic Ability,IEP,3,3,1,7,Advanced,Submitted,Advanced (7-8),700051,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300018,"Bland, Adrian",3,B,Priya Shah,Oct-4 Fall Baseline - My Favorite Place,General,1,2,1,4,Developing,Submitted,Developing (3-4),700052,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300018,"Bland, Adrian",3,B,Priya Shah,Jan-12 Winter Benchmark - Community Heroes,General,1,2,2,5,Proficient,Submitted,Proficient (5-6),700053,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300018,"Bland, Adrian",3,B,Priya Shah,Mar-9 GA Extended Writing Task - Athletic Ability,General,3,2,1,6,Proficient,Submitted,Proficient (5-6),700054,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300019,"Gibson, Nora",5,B,Lisa Martinez,Oct-4 Fall Baseline - My Favorite Place,English Learner,0,0,0,0,Beginning,Submitted,Beginning (0-2),700055,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300019,"Gibson, Nora",5,B,Lisa Martinez,Jan-12 Winter Benchmark - Community Heroes,English Learner,0,1,1,2,Beginning,Submitted,Beginning (0-2),700056,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300019,"Gibson, Nora",5,B,Lisa Martinez,Mar-9 GA Extended Writing Task - Athletic Ability,English Learner,1,0,1,2,Beginning,Submitted,Beginning (0-2),700057,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300020,"Lovett, Cole",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,English Learner,,,,,Not Scored,Pending Review,Not Scored,700058,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300020,"Lovett, Cole",5,C,Jennifer Thomas,Jan-12 Winter Benchmark - Community Heroes,English Learner,1,1,0,2,Beginning,Submitted,Beginning (0-2),700059,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300020,"Lovett, Cole",5,C,Jennifer Thomas,Mar-9 GA Extended Writing Task - Athletic Ability,English Learner,3,2,1,6,Proficient,Submitted,Proficient (5-6),700060,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300021,"Martinez, Mila",5,B,Lisa Martinez,Oct-4 Fall Baseline - My Favorite Place,General,1,0,1,2,Beginning,Submitted,Beginning (0-2),700061,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300021,"Martinez, Mila",5,B,Lisa Martinez,Jan-12 Winter Benchmark - Community Heroes,General,1,2,1,4,Developing,Submitted,Developing (3-4),700062,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300021,"Martinez, Mila",5,B,Lisa Martinez,Mar-9 GA Extended Writing Task - Athletic Ability,General,1,3,2,6,Proficient,Submitted,Proficient (5-6),700063,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300022,"Rakestraw, Aaron",4,C,Emily Carter,Oct-4 Fall Baseline - My Favorite Place,General,0,1,0,1,Beginning,Submitted,Beginning (0-2),700064,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300022,"Rakestraw, Aaron",4,C,Emily Carter,Jan-12 Winter Benchmark - Community Heroes,General,,,,,Not Scored,Pending Review,Not Scored,700065,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300022,"Rakestraw, Aaron",4,C,Emily Carter,Mar-9 GA Extended Writing Task - Athletic Ability,General,2,3,2,7,Advanced,Submitted,Advanced (7-8),700066,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300023,"Salabova, Iko",3,C,Marcus Lee,Oct-4 Fall Baseline - My Favorite Place,General,1,3,1,5,Proficient,Submitted,Proficient (5-6),700067,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300023,"Salabova, Iko",3,C,Marcus Lee,Jan-12 Winter Benchmark - Community Heroes,General,2,2,2,6,Proficient,Submitted,Proficient (5-6),700068,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300023,"Salabova, Iko",3,C,Marcus Lee,Mar-9 GA Extended Writing Task - Athletic Ability,General,3,2,2,7,Advanced,Submitted,Advanced (7-8),700069,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300024,"Rivera, Evan",4,B,Bretiya Wallace,Oct-4 Fall Baseline - My Favorite Place,Gifted,2,2,1,5,Proficient,Submitted,Proficient (5-6),700070,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300024,"Rivera, Evan",4,B,Bretiya Wallace,Jan-12 Winter Benchmark - Community Heroes,Gifted,2,2,1,5,Proficient,Submitted,Proficient (5-6),700071,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300024,"Rivera, Evan",4,B,Bretiya Wallace,Mar-9 GA Extended Writing Task - Athletic Ability,Gifted,3,2,1,6,Proficient,Submitted,Proficient (5-6),700072,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300025,"Nakamura, Taliyah",5,A,David Brown,Oct-4 Fall Baseline - My Favorite Place,General,1,0,0,1,Beginning,Submitted,Beginning (0-2),700073,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300025,"Nakamura, Taliyah",5,A,David Brown,Jan-12 Winter Benchmark - Community Heroes,General,1,1,1,3,Developing,Submitted,Developing (3-4),700074,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300025,"Nakamura, Taliyah",5,A,David Brown,Mar-9 GA Extended Writing Task - Athletic Ability,General,1,1,1,3,Developing,Submitted,Developing (3-4),700075,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300026,"Barron, Zara",5,A,David Brown,Oct-4 Fall Baseline - My Favorite Place,IEP,1,2,0,3,Developing,Submitted,Developing (3-4),700076,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300026,"Barron, Zara",5,A,David Brown,Jan-12 Winter Benchmark - Community Heroes,IEP,3,3,0,6,Proficient,Submitted,Proficient (5-6),700077,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300026,"Barron, Zara",5,A,David Brown,Mar-9 GA Extended Writing Task - Athletic Ability,IEP,3,2,2,7,Advanced,Submitted,Advanced (7-8),700078,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300027,"Reed, Imani",4,B,Bretiya Wallace,Oct-4 Fall Baseline - My Favorite Place,General,0,1,0,1,Beginning,Submitted,Beginning (0-2),700079,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300027,"Reed, Imani",4,B,Bretiya Wallace,Jan-12 Winter Benchmark - Community Heroes,General,0,0,0,0,Beginning,Submitted,Beginning (0-2),700080,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300027,"Reed, Imani",4,B,Bretiya Wallace,Mar-9 GA Extended Writing Task - Athletic Ability,General,2,0,1,3,Developing,Submitted,Developing (3-4),700081,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300028,"Burton, Liam",4,B,Bretiya Wallace,Oct-4 Fall Baseline - My Favorite Place,Intervention,1,0,0,1,Beginning,Submitted,Beginning (0-2),700082,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300028,"Burton, Liam",4,B,Bretiya Wallace,Jan-12 Winter Benchmark - Community Heroes,Intervention,1,1,2,4,Developing,Submitted,Developing (3-4),700083,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300028,"Burton, Liam",4,B,Bretiya Wallace,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,1,1,1,3,Developing,Submitted,Developing (3-4),700084,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300029,"Garcia, Abigail",5,B,Lisa Martinez,Oct-4 Fall Baseline - My Favorite Place,English Learner,2,1,0,3,Developing,Submitted,Developing (3-4),700085,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300029,"Garcia, Abigail",5,B,Lisa Martinez,Jan-12 Winter Benchmark - Community Heroes,English Learner,1,2,0,3,Developing,Submitted,Developing (3-4),700086,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300029,"Garcia, Abigail",5,B,Lisa Martinez,Mar-9 GA Extended Writing Task - Athletic Ability,English Learner,1,1,1,3,Developing,Submitted,Developing (3-4),700087,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300030,"Gibson, Riley",3,A,Dana Whitfield,Oct-4 Fall Baseline - My Favorite Place,504 Plan,0,1,0,1,Beginning,Submitted,Beginning (0-2),700088,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300030,"Gibson, Riley",3,A,Dana Whitfield,Jan-12 Winter Benchmark - Community Heroes,504 Plan,0,1,0,1,Beginning,Submitted,Beginning (0-2),700089,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300030,"Gibson, Riley",3,A,Dana Whitfield,Mar-9 GA Extended Writing Task - Athletic Ability,504 Plan,1,3,1,5,Proficient,Submitted,Proficient (5-6),700090,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300031,"Daniels, Samir",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,General,1,0,0,1,Beginning,Submitted,Beginning (0-2),700091,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300031,"Daniels, Samir",5,C,Jennifer Thomas,Jan-12 Winter Benchmark - Community Heroes,General,,,,,Not Scored,Absent,Not Scored,700092,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300031,"Daniels, Samir",5,C,Jennifer Thomas,Mar-9 GA Extended Writing Task - Athletic Ability,General,2,3,1,6,Proficient,Submitted,Proficient (5-6),700093,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300032,"Thomas, Andre",4,A,Jasmine Ramey,Oct-4 Fall Baseline - My Favorite Place,General,1,1,1,3,Developing,Submitted,Developing (3-4),700094,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300032,"Thomas, Andre",4,A,Jasmine Ramey,Jan-12 Winter Benchmark - Community Heroes,General,2,2,2,6,Proficient,Submitted,Proficient (5-6),700095,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300032,"Thomas, Andre",4,A,Jasmine Ramey,Mar-9 GA Extended Writing Task - Athletic Ability,General,2,2,2,6,Proficient,Submitted,Proficient (5-6),700096,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300033,"Kindell, Omar",4,B,Bretiya Wallace,Oct-4 Fall Baseline - My Favorite Place,General,,,,,Not Scored,Pending Review,Not Scored,700097,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300033,"Kindell, Omar",4,B,Bretiya Wallace,Jan-12 Winter Benchmark - Community Heroes,General,0,1,1,2,Beginning,Submitted,Beginning (0-2),700098,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300033,"Kindell, Omar",4,B,Bretiya Wallace,Mar-9 GA Extended Writing Task - Athletic Ability,General,1,2,0,3,Developing,Submitted,Developing (3-4),700099,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300034,"Little, Rekiyah",4,C,Emily Carter,Oct-4 Fall Baseline - My Favorite Place,Gifted,0,0,0,0,Beginning,Submitted,Beginning (0-2),700100,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300034,"Little, Rekiyah",4,C,Emily Carter,Jan-12 Winter Benchmark - Community Heroes,Gifted,2,1,1,4,Developing,Submitted,Developing (3-4),700101,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300034,"Little, Rekiyah",4,C,Emily Carter,Mar-9 GA Extended Writing Task - Athletic Ability,Gifted,1,0,0,1,Beginning,Submitted,Beginning (0-2),700102,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300035,"Morrison, Sydney",4,C,Emily Carter,Oct-4 Fall Baseline - My Favorite Place,504 Plan,0,2,1,3,Developing,Submitted,Developing (3-4),700103,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300035,"Morrison, Sydney",4,C,Emily Carter,Jan-12 Winter Benchmark - Community Heroes,504 Plan,2,0,1,3,Developing,Submitted,Developing (3-4),700104,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300035,"Morrison, Sydney",4,C,Emily Carter,Mar-9 GA Extended Writing Task - Athletic Ability,504 Plan,1,2,1,4,Developing,Submitted,Developing (3-4),700105,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300036,"Nguyen, Ella",3,C,Marcus Lee,Oct-4 Fall Baseline - My Favorite Place,General,3,2,1,6,Proficient,Submitted,Proficient (5-6),700106,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300036,"Nguyen, Ella",3,C,Marcus Lee,Jan-12 Winter Benchmark - Community Heroes,General,3,1,1,5,Proficient,Submitted,Proficient (5-6),700107,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300036,"Nguyen, Ella",3,C,Marcus Lee,Mar-9 GA Extended Writing Task - Athletic Ability,General,3,2,1,6,Proficient,Submitted,Proficient (5-6),700108,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300037,"Portalatin, Amara",3,A,Dana Whitfield,Oct-4 Fall Baseline - My Favorite Place,Intervention,0,0,0,0,Beginning,Submitted,Beginning (0-2),700109,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
