id,student_name,grade,section,teacher,assessment,student_group,domain,skill,rating,student_score_id
21,"Small, Olivia",4,C,Emily Carter,Jan-12 Winter Benchmark - Community Heroes,Intervention,Language Usage & Conventions,Punctuation,Strong,700002
22,"Small, Olivia",4,C,Emily Carter,Jan-12 Winter Benchmark - Community Heroes,Intervention,Language Usage & Conventions,Spelling,Strong,700002
23,"Small, Olivia",4,C,Emily Carter,Jan-12 Winter Benchmark - Community Heroes,Intervention,Language Usage & Conventions,Usage,Partial,700002
24,"Small, Olivia",4,C,Emily Carter,Jan-12 Winter Benchmark - Community Heroes,Intervention,Language Usage & Conventions,Sentence Formation,Strong,700002
25,"Small, Olivia",4,C,Emily Carter,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Purpose & Organization,Introduction,Strong,700003
26,"Small, Olivia",4,C,Emily Carter,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Purpose & Organization,Progression,Strong,700003
27,"Small, Olivia",4,C,Emily Carter,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Purpose & Organization,Conclusion,Strong,700003
28,"Small, Olivia",4,C,Emily Carter,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Purpose & Organization,Transitions,Strong,700003
29,"Small, Olivia",4,C,Emily Carter,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Evidence & Elaboration,Focus,Sufficient,700003
30,"Small, Olivia",4,C,Emily Carter,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Evidence & Elaboration,Dev of Support,Sufficient,700003
31,"Small, Olivia",4,C,Emily Carter,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Evidence & Elaboration,Word Choice,Partial,700003
32,"Small, Olivia",4,C,Emily Carter,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Language Usage & Conventions,Capitalization,Strong,700003
33,"Small, Olivia",4,C,Emily Carter,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Language Usage & Conventions,Punctuation,Strong,700003
34,"Small, Olivia",4,C,Emily Carter,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Language Usage & Conventions,Spelling,Partial,700003
35,"Small, Olivia",4,C,Emily Carter,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Language Usage & Conventions,Usage,Partial,700003
36,"Small, Olivia",4,C,Emily Carter,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Language Usage & Conventions,Sentence Formation,Sufficient,700003
37,"Rivera, Dana",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,Intervention,Purpose & Organization,Introduction,Missing,700004
38,"Rivera, Dana",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,Intervention,Purpose & Organization,Progression,Missing,700004
39,"Rivera, Dana",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,Intervention,Purpose & Organization,Conclusion,Insufficient,700004
40,"Rivera, Dana",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,Intervention,Purpose & Organization,Transitions,Insufficient,700004
41,"Rivera, Dana",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,Intervention,Evidence & Elaboration,Focus,Missing,700004
42,"Rivera, Dana",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,Intervention,Evidence & Elaboration,Dev of Support,Missing,700004
43,"Rivera, Dana",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,Intervention,Evidence & Elaboration,Word Choice,Weak,700004
44,"Rivera, Dana",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,Intervention,Language Usage & Conventions,Capitalization,Missing,700004
45,"Rivera, Dana",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,Intervention,Language Usage & Conventions,Punctuation,Insufficient,700004
46,"Rivera, Dana",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,Intervention,Language Usage & Conventions,Spelling,Insufficient,700004
47,"Rivera, Dana",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,Intervention,Language Usage & Conventions,Usage,Missing,700004
48,"Rivera, Dana",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,Intervention,Language Usage & Conventions,Sentence Formation,Missing,700004
49,"Rivera, Dana",5,C,Jennifer Thomas,Jan-12 Winter Benchmark - Community Heroes,Intervention,Purpose & Organization,Introduction,Weak,700005
50,"Rivera, Dana",5,C,Jennifer Thomas,Jan-12 Winter Benchmark - Community Heroes,Intervention,Purpose & Organization,Progression,Weak,700005
51,"Rivera, Dana",5,C,Jennifer Thomas,Jan-12 Winter Benchmark - Community Heroes,Intervention,Purpose & Organization,Conclusion,Insufficient,700005
52,"Rivera, Dana",5,C,Jennifer Thomas,Jan-12 Winter Benchmark - Community Heroes,Intervention,Purpose & Organization,Transitions,Insufficient,700005
53,"Rivera, Dana",5,C,Jennifer Thomas,Jan-12 Winter Benchmark - Community Heroes,Intervention,Evidence & Elaboration,Focus,Missing,700005
54,"Rivera, Dana",5,C,Jennifer Thomas,Jan-12 Winter Benchmark - Community Heroes,Intervention,Evidence & Elaboration,Dev of Support,Insufficient,700005
55,"Rivera, Dana",5,C,Jennifer Thomas,Jan-12 Winter Benchmark - Community Heroes,Intervention,Evidence & Elaboration,Word Choice,Weak,700005
56,"Rivera, Dana",5,C,Jennifer Thomas,Jan-12 Winter Benchmark - Community Heroes,Intervention,Language Usage & Conventions,Capitalization,Weak,700005
57,"Rivera, Dana",5,C,Jennifer Thomas,Jan-12 Winter Benchmark - Community Heroes,Intervention,Language Usage & Conventions,Punctuation,Insufficient,700005
58,"Rivera, Dana",5,C,Jennifer Thomas,Jan-12 Winter Benchmark - Community Heroes,Intervention,Language Usage & Conventions,Spelling,Weak,700005
59,"Rivera, Dana",5,C,Jennifer Thomas,Jan-12 Winter Benchmark - Community Heroes,Intervention,Language Usage & Conventions,Usage,Weak,700005
60,"Rivera, Dana",5,C,Jennifer Thomas,Jan-12 Winter Benchmark - Community Heroes,Intervention,Language Usage & Conventions,Sentence Formation,Partial,700005
61,"Rivera, Dana",5,C,Jennifer Thomas,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Purpose & Organization,Introduction,Weak,700006
62,"Rivera, Dana",5,C,Jennifer Thomas,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Purpose & Organization,Progression,Insufficient,700006
63,"Rivera, Dana",5,C,Jennifer Thomas,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Purpose & Organization,Conclusion,Missing,700006
64,"Rivera, Dana",5,C,Jennifer Thomas,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Purpose & Organization,Transitions,Insufficient,700006
65,"Rivera, Dana",5,C,Jennifer Thomas,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Evidence & Elaboration,Focus,Weak,700006
66,"Rivera, Dana",5,C,Jennifer Thomas,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Evidence & Elaboration,Dev of Support,Insufficient,700006
67,"Rivera, Dana",5,C,Jennifer Thomas,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Evidence & Elaboration,Word Choice,Weak,700006
68,"Rivera, Dana",5,C,Jennifer Thomas,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Language Usage & Conventions,Capitalization,Insufficient,700006
69,"Rivera, Dana",5,C,Jennifer Thomas,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Language Usage & Conventions,Punctuation,Weak,700006
70,"Rivera, Dana",5,C,Jennifer Thomas,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Language Usage & Conventions,Spelling,Insufficient,700006
71,"Rivera, Dana",5,C,Jennifer Thomas,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Language Usage & Conventions,Usage,Insufficient,700006
72,"Rivera, Dana",5,C,Jennifer Thomas,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Language Usage & Conventions,Sentence Formation,Insufficient,700006
73,"Martinez, Elijah",3,B,Priya Shah,Oct-4 Fall Baseline - My Favorite Place,General,Purpose & Organization,Introduction,Sufficient,700007
74,"Martinez, Elijah",3,B,Priya Shah,Oct-4 Fall Baseline - My Favorite Place,General,Purpose & Organization,Progression,Partial,700007
75,"Martinez, Elijah",3,B,Priya Shah,Oct-4 Fall Baseline - My Favorite Place,General,Purpose & Organization,Conclusion,Weak,700007
76,"Martinez, Elijah",3,B,Priya Shah,Oct-4 Fall Baseline - My Favorite Place,General,Purpose & Organization,Transitions,Weak,700007
77,"Martinez, Elijah",3,B,Priya Shah,Oct-4 Fall Baseline - My Favorite Place,General,Evidence & Elaboration,Focus,Weak,700007
78,"Martinez, Elijah",3,B,Priya Shah,Oct-4 Fall Baseline - My Favorite Place,General,Evidence & Elaboration,Dev of Support,Insufficient,700007
79,"Martinez, Elijah",3,B,Priya Shah,Oct-4 Fall Baseline - My Favorite Place,General,Evidence & Elaboration,Word Choice,Insufficient,700007
80,"Martinez, Elijah",3,B,Priya Shah,Oct-4 Fall Baseline - My Favorite Place,General,Language Usage & Conventions,Capitalization,Insufficient,700007
81,"Martinez, Elijah",3,B,Priya Shah,Oct-4 Fall Baseline - My Favorite Place,General,Language Usage & Conventions,Punctuation,Insufficient,700007
82,"Martinez, Elijah",3,B,Priya Shah,Oct-4 Fall Baseline - My Favorite Place,General,Language Usage & Conventions,Spelling,Weak,700007
83,"Martinez, Elijah",3,B,Priya Shah,Oct-4 Fall Baseline - My Favorite Place,General,Language Usage & Conventions,Usage,Insufficient,700007
84,"Martinez, Elijah",3,B,Priya Shah,Oct-4 Fall Baseline - My Favorite Place,General,Language Usage & Conventions,Sentence Formation,Partial,700007
85,"Martinez, Elijah",3,B,Priya Shah,Jan-12 Winter Benchmark - Community Heroes,General,Purpose & Organization,Introduction,Sufficient,700008
86,"Martinez, Elijah",3,B,Priya Shah,Jan-12 Winter Benchmark - Community Heroes,General,Purpose & Organization,Progression,Partial,700008
87,"Martinez, Elijah",3,B,Priya Shah,Jan-12 Winter Benchmark - Community Heroes,General,Purpose & Organization,Conclusion,Strong,700008
88,"Martinez, Elijah",3,B,Priya Shah,Jan-12 Winter Benchmark - Community Heroes,General,Purpose & Organization,Transitions,Strong,700008
89,"Martinez, Elijah",3,B,Priya Shah,Jan-12 Winter Benchmark - Community Heroes,General,Evidence & Elaboration,Focus,Strong,700008
90,"Martinez, Elijah",3,B,Priya Shah,Jan-12 Winter Benchmark - Community Heroes,General,Evidence & Elaboration,Dev of Support,Strong,700008
91,"Martinez, Elijah",3,B,Priya Shah,Jan-12 Winter Benchmark - Community Heroes,General,Evidence & Elaboration,Word Choice,Strong,700008
92,"Martinez, Elijah",3,B,Priya Shah,Jan-12 Winter Benchmark - Community Heroes,General,Language Usage & Conventions,Capitalization,Partial,700008
93,"Martinez, Elijah",3,B,Priya Shah,Jan-12 Winter Benchmark - Community Heroes,General,Language Usage & Conventions,Punctuation,Partial,700008
94,"Martinez, Elijah",3,B,Priya Shah,Jan-12 Winter Benchmark - Community Heroes,General,Language Usage & Conventions,Spelling,Insufficient,700008
95,"Martinez, Elijah",3,B,Priya Shah,Jan-12 Winter Benchmark - Community Heroes,General,Language Usage & Conventions,Usage,Partial,700008
96,"Martinez, Elijah",3,B,Priya Shah,Jan-12 Winter Benchmark - Community Heroes,General,Language Usage & Conventions,Sentence Formation,Partial,700008
97,"Martinez, Elijah",3,B,Priya Shah,Mar-9 GA Extended Writing Task - Athletic Ability,General,Purpose & Organization,Introduction,Sufficient,700009
98,"Martinez, Elijah",3,B,Priya Shah,Mar-9 GA Extended Writing Task - Athletic Ability,General,Purpose & Organization,Progression,Partial,700009
99,"Martinez, Elijah",3,B,Priya Shah,Mar-9 GA Extended Writing Task - Athletic Ability,General,Purpose & Organization,Conclusion,Partial,700009
100,"Martinez, Elijah",3,B,Priya Shah,Mar-9 GA Extended Writing Task - Athletic Ability,General,Purpose & Organization,Transitions,Partial,700009
101,"Martinez, Elijah",3,B,Priya Shah,Mar-9 GA Extended Writing Task - Athletic Ability,General,Evidence & Elaboration,Focus,Strong,700009
102,"Martinez, Elijah",3,B,Priya Shah,Mar-9 GA Extended Writing Task - Athletic Ability,General,Evidence & Elaboration,Dev of Support,Strong,700009
103,"Martinez, Elijah",3,B,Priya Shah,Mar-9 GA Extended Writing Task - Athletic Ability,General,Evidence & Elaboration,Word Choice,Strong,700009
104,"Martinez, Elijah",3,B,Priya Shah,Mar-9 GA Extended Writing Task - Athletic Ability,General,Language Usage & Conventions,Capitalization,Partial,700009
105,"Martinez, Elijah",3,B,Priya Shah,Mar-9 GA Extended Writing Task - Athletic Ability,General,Language Usage & Conventions,Punctuation,Strong,700009
106,"Martinez, Elijah",3,B,Priya Shah,Mar-9 GA Extended Writing Task - Athletic Ability,General,Language Usage & Conventions,Spelling,Sufficient,700009
107,"Martinez, Elijah",3,B,Priya Shah,Mar-9 GA Extended Writing Task - Athletic Ability,General,Language Usage & Conventions,Usage,Partial,700009
108,"Martinez, Elijah",3,B,Priya Shah,Mar-9 GA Extended Writing Task - Athletic Ability,General,Language Usage & Conventions,Sentence Formation,Sufficient,700009
109,"Gilstrap, Cruz",4,A,Jasmine Ramey,Oct-4 Fall Baseline - My Favorite Place,IEP,Purpose & Organization,Introduction,Partial,700010
110,"Gilstrap, Cruz",4,A,Jasmine Ramey,Oct-4 Fall Baseline - My Favorite Place,IEP,Purpose & Organization,Progression,Weak,700010
111,"Gilstrap, Cruz",4,A,Jasmine Ramey,Oct-4 Fall Baseline - My Favorite Place,IEP,Purpose & Organization,Conclusion,Missing,700010
112,"Gilstrap, Cruz",4,A,Jasmine Ramey,Oct-4 Fall Baseline - My Favorite Place,IEP,Purpose & Organization,Transitions,Missing,700010
113,"Gilstrap, Cruz",4,A,Jasmine Ramey,Oct-4 Fall Baseline - My Favorite Place,IEP,Evidence & Elaboration,Focus,Partial,700010
114,"Gilstrap, Cruz",4,A,Jasmine Ramey,Oct-4 Fall Baseline - My Favorite Place,IEP,Evidence & Elaboration,Dev of Support,Weak,700010
115,"Gilstrap, Cruz",4,A,Jasmine Ramey,Oct-4 Fall Baseline - My Favorite Place,IEP,Evidence & Elaboration,Word Choice,Missing,700010
116,"Gilstrap, Cruz",4,A,Jasmine Ramey,Oct-4 Fall Baseline - My Favorite Place,IEP,Language Usage & Conventions,Capitalization,Missing,700010
117,"Gilstrap, Cruz",4,A,Jasmine Ramey,Oct-4 Fall Baseline - My Favorite Place,IEP,Language Usage & Conventions,Punctuation,Weak,700010
118,"Gilstrap, Cruz",4,A,Jasmine Ramey,Oct-4 Fall Baseline - My Favorite Place,IEP,Language Usage & Conventions,Spelling,Weak,700010
119,"Gilstrap, Cruz",4,A,Jasmine Ramey,Oct-4 Fall Baseline - My Favorite Place,IEP,Language Usage & Conventions,Usage,Weak,700010
120,"Gilstrap, Cruz",4,A,Jasmine Ramey,Oct-4 Fall Baseline - My Favorite Place,IEP,Language Usage & Conventions,Sentence Formation,Partial,700010
121,"Gilstrap, Cruz",4,A,Jasmine Ramey,Jan-12 Winter Benchmark - Community Heroes,IEP,Purpose & Organization,Introduction,Partial,700011
122,"Gilstrap, Cruz",4,A,Jasmine Ramey,Jan-12 Winter Benchmark - Community Heroes,IEP,Purpose & Organization,Progression,Partial,700011
123,"Gilstrap, Cruz",4,A,Jasmine Ramey,Jan-12 Winter Benchmark - Community Heroes,IEP,Purpose & Organization,Conclusion,Partial,700011
124,"Gilstrap, Cruz",4,A,Jasmine Ramey,Jan-12 Winter Benchmark - Community Heroes,IEP,Purpose & Organization,Transitions,Partial,700011
125,"Gilstrap, Cruz",4,A,Jasmine Ramey,Jan-12 Winter Benchmark - Community Heroes,IEP,Evidence & Elaboration,Focus,Sufficient,700011
126,"Gilstrap, Cruz",4,A,Jasmine Ramey,Jan-12 Winter Benchmark - Community Heroes,IEP,Evidence & Elaboration,Dev of Support,Partial,700011
127,"Gilstrap, Cruz",4,A,Jasmine Ramey,Jan-12 Winter Benchmark - Community Heroes,IEP,Evidence & Elaboration,Word Choice,Partial,700011
128,"Gilstrap, Cruz",4,A,Jasmine Ramey,Jan-12 Winter Benchmark - Community Heroes,IEP,Language Usage & Conventions,Capitalization,Missing,700011
129,"Gilstrap, Cruz",4,A,Jasmine Ramey,Jan-12 Winter Benchmark - Community Heroes,IEP,Language Usage & Conventions,Punctuation,Missing,700011
130,"Gilstrap, Cruz",4,A,Jasmine Ramey,Jan-12 Winter Benchmark - Community Heroes,IEP,Language Usage & Conventions,Spelling,Weak,700011
131,"Gilstrap, Cruz",4,A,Jasmine Ramey,Jan-12 Winter Benchmark - Community Heroes,IEP,Language Usage & Conventions,Usage,Missing,700011
132,"Gilstrap, Cruz",4,A,Jasmine Ramey,Jan-12 Winter Benchmark - Community Heroes,IEP,Language Usage & Conventions,Sentence Formation,Insufficient,700011
133,"Gilstrap, Cruz",4,A,Jasmine Ramey,Mar-9 GA Extended Writing Task - Athletic Ability,IEP,Purpose & Organization,Introduction,Partial,700012
134,"Gilstrap, Cruz",4,A,Jasmine Ramey,Mar-9 GA Extended Writing Task - Athletic Ability,IEP,Purpose & Organization,Progression,Weak,700012
135,"Gilstrap, Cruz",4,A,Jasmine Ramey,Mar-9 GA Extended Writing Task - Athletic Ability,IEP,Purpose & Organization,Conclusion,Sufficient,700012
136,"Gilstrap, Cruz",4,A,Jasmine Ramey,Mar-9 GA Extended Writing Task - Athletic Ability,IEP,Purpose & Organization,Transitions,Weak,700012
137,"Gilstrap, Cruz",4,A,Jasmine Ramey,Mar-9 GA Extended Writing Task - Athletic Ability,IEP,Evidence & Elaboration,Focus,Sufficient,700012
138,"Gilstrap, Cruz",4,A,Jasmine Ramey,Mar-9 GA Extended Writing Task - Athletic Ability,IEP,Evidence & Elaboration,Dev of Support,Partial,700012
139,"Gilstrap, Cruz",4,A,Jasmine Ramey,Mar-9 GA Extended Writing Task - Athletic Ability,IEP,Evidence & Elaboration,Word Choice,Weak,700012
140,"Gilstrap, Cruz",4,A,Jasmine Ramey,Mar-9 GA Extended Writing Task - Athletic Ability,IEP,Language Usage & Conventions,Capitalization,Insufficient,700012
141,"Gilstrap, Cruz",4,A,Jasmine Ramey,Mar-9 GA Extended Writing Task - Athletic Ability,IEP,Language Usage & Conventions,Punctuation,Partial,700012
142,"Gilstrap, Cruz",4,A,Jasmine Ramey,Mar-9 GA Extended Writing Task - Athletic Ability,IEP,Language Usage & Conventions,Spelling,Partial,700012
143,"Gilstrap, Cruz",4,A,Jasmine Ramey,Mar-9 GA Extended Writing Task - Athletic Ability,IEP,Language Usage & Conventions,Usage,Partial,700012
144,"Gilstrap, Cruz",4,A,Jasmine Ramey,Mar-9 GA Extended Writing Task - Athletic Ability,IEP,Language Usage & Conventions,Sentence Formation,Sufficient,700012
145,"Jones, Grant",5,A,David Brown,Oct-4 Fall Baseline - My Favorite Place,Intervention,Purpose & Organization,Introduction,Missing,700013
146,"Jones, Grant",5,A,David Brown,Oct-4 Fall Baseline - My Favorite Place,Intervention,Purpose & Organization,Progression,Partial,700013
147,"Jones, Grant",5,A,David Brown,Oct-4 Fall Baseline - My Favorite Place,Intervention,Purpose & Organization,Conclusion,Missing,700013
148,"Jones, Grant",5,A,David Brown,Oct-4 Fall Baseline - My Favorite Place,Intervention,Purpose & Organization,Transitions,Weak,700013
149,"Jones, Grant",5,A,David Brown,Oct-4 Fall Baseline - My Favorite Place,Intervention,Evidence & Elaboration,Focus,Insufficient,700013
150,"Jones, Grant",5,A,David Brown,Oct-4 Fall Baseline - My Favorite Place,Intervention,Evidence & Elaboration,Dev of Support,Insufficient,700013
151,"Jones, Grant",5,A,David Brown,Oct-4 Fall Baseline - My Favorite Place,Intervention,Evidence & Elaboration,Word Choice,Weak,700013
152,"Jones, Grant",5,A,David Brown,Oct-4 Fall Baseline - My Favorite Place,Intervention,Language Usage & Conventions,Capitalization,Weak,700013
153,"Jones, Grant",5,A,David Brown,Oct-4 Fall Baseline - My Favorite Place,Intervention,Language Usage & Conventions,Punctuation,Insufficient,700013
154,"Jones, Grant",5,A,David Brown,Oct-4 Fall Baseline - My Favorite Place,Intervention,Language Usage & Conventions,Spelling,Insufficient,700013
155,"Jones, Grant",5,A,David Brown,Oct-4 Fall Baseline - My Favorite Place,Intervention,Language Usage & Conventions,Usage,Weak,700013
156,"Jones, Grant",5,A,David Brown,Oct-4 Fall Baseline - My Favorite Place,Intervention,Language Usage & Conventions,Sentence Formation,Partial,700013
157,"Jones, Grant",5,A,David Brown,Jan-12 Winter Benchmark - Community Heroes,Intervention,Purpose & Organization,Introduction,Sufficient,700014
158,"Jones, Grant",5,A,David Brown,Jan-12 Winter Benchmark - Community Heroes,Intervention,Purpose & Organization,Progression,Sufficient,700014
159,"Jones, Grant",5,A,David Brown,Jan-12 Winter Benchmark - Community Heroes,Intervention,Purpose & Organization,Conclusion,Partial,700014
160,"Jones, Grant",5,A,David Brown,Jan-12 Winter Benchmark - Community Heroes,Intervention,Purpose & Organization,Transitions,Partial,700014
161,"Jones, Grant",5,A,David Brown,Jan-12 Winter Benchmark - Community Heroes,Intervention,Evidence & Elaboration,Focus,Partial,700014
162,"Jones, Grant",5,A,David Brown,Jan-12 Winter Benchmark - Community Heroes,Intervention,Evidence & Elaboration,Dev of Support,Sufficient,700014
163,"Jones, Grant",5,A,David Brown,Jan-12 Winter Benchmark - Community Heroes,Intervention,Evidence & Elaboration,Word Choice,Partial,700014
164,"Jones, Grant",5,A,David Brown,Jan-12 Winter Benchmark - Community Heroes,Intervention,Language Usage & Conventions,Capitalization,Weak,700014
165,"Jones, Grant",5,A,David Brown,Jan-12 Winter Benchmark - Community Heroes,Intervention,Language Usage & Conventions,Punctuation,Partial,700014
166,"Jones, Grant",5,A,David Brown,Jan-12 Winter Benchmark - Community Heroes,Intervention,Language Usage & Conventions,Spelling,Weak,700014
167,"Jones, Grant",5,A,David Brown,Jan-12 Winter Benchmark - Community Heroes,Intervention,Language Usage & Conventions,Usage,Weak,700014
168,"Jones, Grant",5,A,David Brown,Jan-12 Winter Benchmark - Community Heroes,Intervention,Language Usage & Conventions,Sentence Formation,Partial,700014
169,"Jones, Grant",5,A,David Brown,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Purpose & Organization,Introduction,Partial,700015
170,"Jones, Grant",5,A,David Brown,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Purpose & Organization,Progression,Partial,700015
171,"Jones, Grant",5,A,David Brown,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Purpose & Organization,Conclusion,Weak,700015
172,"Jones, Grant",5,A,David Brown,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Purpose & Organization,Transitions,Sufficient,700015
173,"Jones, Grant",5,A,David Brown,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Evidence & Elaboration,Focus,Sufficient,700015
174,"Jones, Grant",5,A,David Brown,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Evidence & Elaboration,Dev of Support,Sufficient,700015
175,"Jones, Grant",5,A,David Brown,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Evidence & Elaboration,Word Choice,Strong,700015
176,"Jones, Grant",5,A,David Brown,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Language Usage & Conventions,Capitalization,Strong,700015
177,"Jones, Grant",5,A,David Brown,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Language Usage & Conventions,Punctuation,Sufficient,700015
178,"Jones, Grant",5,A,David Brown,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Language Usage & Conventions,Spelling,Strong,700015
179,"Jones, Grant",5,A,David Brown,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Language Usage & Conventions,Usage,Sufficient,700015
180,"Jones, Grant",5,A,David Brown,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,Language Usage & Conventions,Sentence Formation,Strong,700015
181,"Dupree, Noah",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,IEP,Purpose & Organization,Introduction,Partial,700016
182,"Dupree, Noah",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,IEP,Purpose & Organization,Progression,Weak,700016
183,"Dupree, Noah",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,IEP,Purpose & Organization,Conclusion,Insufficient,700016
184,"Dupree, Noah",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,IEP,Purpose & Organization,Transitions,Weak,700016
185,"Dupree, Noah",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,IEP,Evidence & Elaboration,Focus,Insufficient,700016
186,"Dupree, Noah",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,IEP,Evidence & Elaboration,Dev of Support,Weak,700016
